primary_type,subtype,lat,lon,name,amenity,addr:housenumber,school,addr:city,addr:street,addr:postcode,addr:country,name:zh
education,school,1.3387528,103.7930804,Drum Tutor,music_school,,,,,,,
education,school,1.338505,103.7931568,The LPN Art School,school,,,,,,,
education,school,1.3958481,103.8922107,Kindermusik,music_school,,,,,,,
education,school,1.342551,103.9531612,Cristofori Music School,music_school,,,,,,,
education,school,1.3427176,103.9532054,Hua Cheng,language_school,,,,,,,
education,school,1.2871356,103.8450001,Sho Music Studio,music_school,,,,,,,
education,school,1.3946055,103.8973326,Gate 5,,,,,,,,
education,school,1.3931066,103.8963174,Dyslexia Association Of Singapore Sengkang Learning Centre,school,,,,,,,
education,school,1.3913608,103.8901381,HCL Education Centre,language_school,,,,,,,
education,school,1.3850465,103.9024054,Hua Cheng,language_school,,,,,,,
education,school,1.326154,103.8438591,,,,,,,,,
education,school,1.2818761,103.8094273,,,,,,,,,
education,school,1.2815483,103.8052548,,,,,,,,,
education,school,1.3461885,103.6816202,,school,,,,,,,
education,school,1.3003699,103.8372966,Kumon,school,,,,,,,
education,school,1.3866719,103.897869,,,,,,,,,
education,school,1.3031305,103.8732806,The Musical Fairy,music_school,,,,,,,
education,school,1.2893337,103.855673,LWS School Of Music,music_school,,,,,,,李伟菘音乐学校
education,school,1.2899202,103.855961,Hiart,school,,,,,,,
education,school,1.2844339,103.788732,,,,,,,,,
education,school,1.4103038,103.9059916,Yamaha,music_school,,,,,,,
education,school,1.4101881,103.9059789,LCentral English,language_school,,,,,,,
education,school,1.4105342,103.9059666,Tien Hsia Language School,language_school,,,,,,,天下语文学校
education,school,1.4103158,103.9059361,Artary Academy of Children's Art,school,,,,,,,
education,school,1.3790448,103.8430007,Yio Chu Kang Secondary School,school,3063,secondary,Singapore,Ang Mo Kio Avenue 5,569868,SG,永康中学
education,school,1.3770992,103.8424831,Mayflower Primary School,school,200,primary,Singapore,Ang Mo Kio Avenue 5,569878,SG,美华小学
education,school,1.3913895,103.8865811,Anchor Green Primary School,school,31,primary,Singapore,Anchorvale Drive,544969,SG,安泰小学
education,school,1.3889987,103.8890204,Nan Chiau High School,school,20,secondary,Singapore,Anchorvale Link,545079,SG,南侨中学
education,school,1.3918731,103.8901311,Nan Chiau Primary School,school,50,primary,Singapore,Anchorvale Link,545080,SG,南侨小学
education,school,1.3724574,103.8978605,CHIJ (Our Lady of the Nativity) Primary School,school,1257,primary,Singapore,Upper Serangoon Road,534793,SG,圣婴女校(圣母圣诞)
education,school,1.376948,103.8941881,Punggol Primary School,school,61,primary,Singapore,Hougang Avenue 8,538787,SG,榜鹅小学
education,school,1.3899089,103.8774803,Pei Hwa Secondary School,school,21,secondary,Singapore,Fernvale Link,797702,SG,培华中学
education,school,1.3905546,103.8748439,MINDS Fernvale Gardens School,school,7,,Singapore,Fernvale Road,797635,SG,
education,school,1.3906548,103.873823,Fernvale Primary School,school,1,primary,Singapore,Fernvale Lane,797701,SG,丰伟小学
education,school,1.3953797,103.900423,Compassvale Secondary School,school,51,secondary,Singapore,Compassvale Crescent,545083,SG,康柏中学
education,school,1.3937494,103.8984918,Compassvale Primary School,school,21,primary,Singapore,Compassvale Street,545091,SG,康柏小学
education,school,1.39343,103.903738,Rivervale Primary School,school,80,primary,Singapore,Rivervale Drive,545092,SG,立伟小学
education,school,1.3893219,103.8985862,Seng Kang Primary School,school,21,primary,Singapore,Compassvale Walk,545166,SG,成康小学
education,school,1.3858296,103.8978909,Seng Kang Secondary School,school,10,secondary,Singapore,Compassvale Lane,545090,SG,成康中学
education,school,1.3911671,103.9021142,CHIJ St Joseph's Convent,school,62,secondary,Singapore,Seng Kang East Way,548595,SG,圣婴女中(圣若瑟)
education,school,1.3866588,103.9037599,North Spring Primary School,school,1,primary,Singapore,Rivervale Street,545088,SG,北源小学
education,school,1.4012821,103.9091404,Punggol Secondary School,school,51,secondary,Singapore,Edgefield Plains,828870,SG,培道中学
education,school,1.3994811,103.9078702,Edgefield Primary School,school,41,primary,Singapore,Edgefield Plains,828869,SG,育德小学
education,school,1.3964928,103.9115737,Greendale Secondary School,school,51,secondary,Singapore,Edgedale Plains,828866,SG,绿苑中学
education,school,1.3963104,103.9118083,Greendale Primary School,school,50,primary,Singapore,Edgedale Plains,828848,SG,绿苑小学
education,school,1.3939901,103.9089626,Mee Toh School,school,21,primary,Singapore,Edgedale Plains,828867,SG,弥陀学校
education,school,1.3718639,103.8946934,Holy Innocents' High School,school,1191,secondary,Singapore,Upper Serangoon Road,534786,SG,圣婴中学
education,school,1.3783567,103.8847207,Yio Chu Kang Primary School,school,1,primary,Singapore,Hougang Street 51,538720,SG,
education,school,1.3789694,103.881554,Hougang Secondary School,school,2,secondary,Singapore,Hougang Street 93,534256,SG,后港中学
education,school,1.3749851,103.8888354,Montfort Junior School,school,52,primary,Singapore,Hougang Avenue 8,538786,SG,蒙福小学
education,school,1.3729402,103.8884078,Monfort Secondary School,school,50,secondary,Singapore,Hougang Avenue 8,538785,SG,蒙福中学
education,school,1.3953254,103.89058,Springdale Primary School,school,71,primary,Singapore,Anchorvale Link,544799,SG,康德小学
education,school,1.3263558,103.8809261,Canossa Convent Primary School,school,,,,,,,
education,school,1.3236949,103.8813826,MacPherson Primary School,school,2,primary,Singapore,Mattar Road,387724,SG,柏盛小学
education,school,1.3545302,103.9640777,The Japanese Primary School,school,11,,Singapore,Upper Changi Road North,507657,,
education,school,1.3934437,103.7519974,Regent Secondary School,school,50,secondary,Singapore,Choa Chu Kang North 5,689621,SG,励正中学
education,school,1.383993,103.8422034,Anderson Primary School,school,,,,,,,
education,school,1.3317754,103.9114552,Telok Kurau Primary School,school,50,primary,Singapore,Bedok Reservoir Road,479239,SG,德乐小学
education,school,1.3347215,103.9109741,,school,20,,Singapore,Jalan Damai,419612,SG,
education,school,1.3026001,103.8391299,,school,,,,,,,
education,school,1.3700602,103.7706073,,school,58,secondary,Singapore,Chestnut Drive,679301,SG,
education,school,1.3069999,103.9167732,CHIJ Katong Convent School,school,346,secondary,Singapore,Marine Terrace,449150,SG,加东修道院女校
education,school,1.3769397,103.9352461,Meridian Primary School,school,20,primary,Singapore,Pasir Ris Street 71,518798,SG,美廉小学
education,school,1.3281745,103.9207485,Ping Yi Secondary School,school,61,secondary,Singapore,Chai Chee Street,468980,SG,平仪中学
education,school,1.3299048,103.9189995,NPS International School,school,10 & 12,,Singapore,Chai Chee Lane,469021,,
education,school,1.3054129,103.9103187,Tao Nan School,school,,,,,,,
education,school,1.3053932,103.8995628,Tanjong Katong Primary School,school,10,primary,Singapore,Seraya Road,437259,SG,丹绒加东小学
education,school,1.3063152,103.8907693,Chung Cheng High School (Main),school,50,secondary,Singapore,Goodman Road,439012,SG,中正中学(总校)
education,school,1.3085317,103.8953375,Tanjong Katong Girls' School,school,20,secondary,Singapore,Dunman Road,439272,SG,丹绒加东女校
education,school,1.300019,103.8822605,Dunman High School,school,,,,,,,
education,school,1.3113018,103.8868058,Kong Hwa School,school,350,primary,Singapore,Guillemard Road,399772,SG,光华学校
education,school,1.3095933,103.9156858,Saint Patrick's School,school,490,secondary,Singapore,East Coast Road,429058,SG,圣伯特理中学
education,school,1.3122627,103.9016518,Haig Girl's School,school,51,primary,Singapore,Koon Seng Road,427072,SG,海格女校
education,school,1.3122262,103.8282597,,school,20,,Singapore,Anderson Road,259978,SG,
education,school,1.2795681,103.8007944,SP Jain Center of Management,school,,,,,,,
education,school,1.2839739,103.787579,National Community Leadership Institute,school,70,,Singapore,South Buona Vista Road,,,
education,school,1.2757518,103.8233212,Radin Mas Primary School,school,1,primary,Singapore,Bukit Purmei Avenue,099840,SG,拉丁马士小学
education,school,1.334161,103.9339499,Red Swastika School,school,350,primary,Singapore,Bedok North Avenue 3,469719,SG,卍慈学校
education,school,1.3361628,103.9204516,AWWA School @ Bedok,school,50,primary,Singapore,Bedok Reservoir Crescent,479225,SG,
education,school,1.3383655,103.9260587,Damai Secondary School,school,4800,secondary,Singapore,Bedok Reservoir Road,479229,SG,康柏中学
education,school,1.3341878,103.9320972,Yu Neng Primary School,school,56,primary,Singapore,Bedok North Street 3,469623,SG,育能小学
education,school,1.3345342,103.9338827,Bedok Green Secondary School,school,360,secondary,Singapore,Bedok North Avenue 3,469722,SG,育青中学
education,school,1.3305972,103.9313527,Fengshan Primary School,school,307,primary,Singapore,Bedok North Road,469680,SG,凤山小学
education,school,1.3409804,103.9522563,Changkat Primary School,school,11,primary,Singapore,Simei Street 3,529896,SG,尚育小学
education,school,1.3409804,103.9522563,Changkat Changi Secondary School,school,23,secondary,Singapore,Simei Street 3,529894,SG,尚育中学
education,school,1.3314458,103.9417233,Anglican High School,school,600,secondary,Singapore,Upper Changi Road,487012,SG,圣公会中学
education,school,1.3183224,103.8822087,Geylang Methodist School,school,2,secondary,Singapore,Geylang East Central,389705,SG,芽笼美以美中学
education,school,1.3162542,103.937887,Singapore Hokkien Huay Kuan,school,5,,Singapore,Sennett Road,466781,,
education,school,1.3179926,103.9450451,Temasek Primary School,school,501,primary,Singapore,Bedok South Avenue 3,479239,SG,淡马锡小学
education,school,1.31607,103.9462642,Temasek Secondary School,school,600,secondary,Singapore,Upper East Coast Road,465561,SG,淡马锡中学
education,school,1.4455188,103.8200485,Sembawang Primary School,school,10,primary,Singapore,Sembawang Drive,757715,SG,胜宝旺小学
education,school,1.4525374,103.8216446,Wellington Primary School,school,10,primary,Singapore,Wellington Circle,757702,SG,伟林小学
education,school,1.4466771,103.8161861,Sembawang Secondary School,school,30,secondary,Singapore,Sembawang Crescent,757704,SG,胜宝旺中学
education,school,1.4512686,103.8148432,Canberra Primary School,school,21,primary,Singapore,Admiralty Drive,757714,SG,康培小学
education,school,1.2802447,103.8063313,ISS International School,school,21,,Singapore,Preston Road,109355,,
education,school,1.2774091,103.8030268,Academy of Singapore Teachers,school,2,,Singapore,Malan Road,109433,,
education,school,1.4542568,103.8132292,Canberra Secondary School,school,51,secondary,Singapore,Sembawang Drive,757699,SG,康培中学
education,school,1.4395267,103.8397855,Chongfu Primary School,school,170,primary,Singapore,Yishun Avenue 6,768959,SG,崇福学校
education,school,1.4364947,103.8395164,Northland Secondary School,school,3,secondary,Singapore,Yishun Street 22,768578,SG,德景中学
education,school,1.4294059,103.795937,Woodgrove Secondary School,school,3,secondary,Singapore,Woodlands Avenue 6,738990,SG,林景中學
education,school,1.359889,103.7674888,The Learning Boutique,school,,,,,,,
education,school,1.3592131,103.7675703,Jan & Elly,school,,,,,,,
education,school,1.3738523,103.9543722,Hai Sing Catholic School,school,9,secondary,Singapore,Pasir Ris Drive 6,519421,SG,海星天主教中学
education,school,1.370529,103.9555277,Loyang Primary School,school,3,primary,Singapore,Pasir Ris Drive 6,516419,SG,洛阳小学
education,school,1.3554213,103.8438341,Catholic High School,school,9,,Singapore,Bishan Street 22,579767,SG,
education,school,1.3208887,103.8096095,St Margaret's Secondary School,school,111,secondary,Singapore,Farrer Road,259240,SG,圣玛格烈中学
education,school,1.3056166,103.7641323,Grace Orchard School,school,170,primary,Singapore,West Coast Road,127443,SG,
education,school,1.3211468,103.7602916,,school,,,,,,,
education,school,1.3012163,103.8017289,Queensway Secondary School,school,2A,secondary,Singapore,Margaret Drive,149295,SG,女皇道中学
education,school,1.3836353,103.7592492,West View Primary School,school,31,primary,Singapore,Senja Road,677742,SG,维新小学
education,school,1.3372378,103.7675833,Bukit Timah Primary School,school,111,primary,Singapore,Lorong Kismis,598112,SG,武吉知马小学
education,school,1.2930954,103.8141091,Queenstown Secondary School,school,1,secondary,Singapore,Strathmore Road,148800,SG,女皇镇中学
education,school,1.342169,103.7026301,Boon Lay Secondary School,school,11,secondary,Singapore,Jurong West Street 65,648354,SG,文礼中学
education,school,1.348315,103.9511787,Angsana Primary School,school,3,primary,Singapore,Tampines Street 22,529366,SG,
education,school,1.3574898,103.8898244,Yuying Secondary School,school,47,secondary,Singapore,Hougang Avenue 1,538884,SG,育英中学
education,school,1.3168469,103.7673037,Pei Tong Primary School,school,15,primary,Singapore,Clementi Avenue 5,129857,SG,培童小学
education,school,1.348937,103.8586168,Australian International School Singapore,school,1,,Singapore,Lorong Chuan,556818,SG,
education,school,1.3518432,103.9512338,Yumin Primary School,school,3,primary,Singapore,Tampines Street 21,529393,SG,育民小学
education,school,1.3511201,103.9516587,Chongzheng Primary School,school,1,primary,Singapore,Tampines Street 21,529392,SG,崇正小学
education,school,1.3536531,103.9613589,East Spring Primary School,school,31,primary,Singapore,Tampines Street 33,529258,SG,东源小学
education,school,1.3564837,103.9596539,East Spring Secondary School,school,30,primary,Singapore,Tampines Street 34,529231,SG,东源中学
education,school,1.3614398,103.9548789,Dunman Secondary School,school,21,secondary,Singapore,Tampines Street 45,529093,SG,徳明中学
education,school,1.3551821,103.947774,Pasir Ris Secondary School,school,390,secondary,Singapore,Tampines Street 21,529400,SG,思励中学
education,school,1.3609208,103.9483365,Tampines North Primary School,school,30,primary,Singapore,Tampines Avenue 9,529565,SG,淡滨尼北小学
education,school,1.3499713,103.9449659,Tampines Primary School,school,250,primary,Singapore,Tampines Street 12,529426,SG,淡滨尼小学
education,school,1.3037337,103.7761324,University Town,school,,,,,,,
education,school,1.3499913,103.8614125,St Gabriel's Primary School,school,220,primary,Singapore,Lorong Chuan,556742,SG,圣加俾尔小学
education,school,1.3455699,103.6991484,West Grove Primary School,school,1,primary,Singapore,Jurong West Street 72,649223,SG,伟群小学
education,school,1.3480504,103.7259558,Fuhua Secondary School,school,5,,Singapore,Jurong West Street 41,649410,SG,
education,school,1.3432342,103.7123028,Boon Lay Garden Primary School,school,20,primary,Singapore,Boon Lay Drive,649930,SG,文园小学
education,school,1.3479844,103.7000734,Westwood Primary School,school,1,primary,Singapore,Jurong West Street 73,649188,SG,维林小学
education,school,1.3427489,103.6865962,Xing Nan Primary School,school,5,,Singapore,Jurong West Street 91,649036,SG,醒南小学
education,school,1.3436255,103.7077286,River Valley High School,school,6,,Singapore,Boon Lay Avenue,649961,,立化中学
education,school,1.3530305,103.7209334,Hua Yi Secondary School,school,60,secondary,Singapore,Jurong West Street 42,649371,SG,华义中学
education,school,1.3359002,103.7013421,Jurong West Secondary School,school,61,secondary,Singapore,Jurong West Street 65,648348,SG,裕廊西中学
education,school,1.313552,103.7724824,"School of Science and Technology, Singapore",school,1,secondary,Singapore,Technology Drive,138572,SG,新科技中学
education,school,1.3445609,103.7269653,,,,,,,,,
education,school,1.3373728,103.699187,Frontier Primary School,school,20,primary,,Jurong West Street 61,648200,,先锋小学
